分类: 📺央视频道, 名称: CCTV-1, 有效: 9, IPv4: 54, IPv6: 0, 最小延迟: 592 ms, 最高速率: 5.74 M/s, 平均速率: 3.32 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-2, 有效: 8, IPv4: 66, IPv6: 0, 最小延迟: 340 ms, 最高速率: 10.15 M/s, 平均速率: 3.20 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.38, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-3, 有效: 7, IPv4: 61, IPv6: 0, 最小延迟: 348 ms, 最高速率: 9.76 M/s, 平均速率: 3.88 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.35, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-4, 有效: 8, IPv4: 66, IPv6: 0, 最小延迟: 468 ms, 最高速率: 6.70 M/s, 平均速率: 2.86 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-5, 有效: 10, IPv4: 65, IPv6: 0, 最小延迟: 39 ms, 最高速率: 17.27 M/s, 平均速率: 4.69 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.57, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-5+, 有效: 5, IPv4: 40, IPv6: 0, 最小延迟: 32 ms, 最高速率: 19.67 M/s, 平均速率: 7.03 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-6, 有效: 9, IPv4: 60, IPv6: 0, 最小延迟: 622 ms, 最高速率: 6.29 M/s, 平均速率: 2.74 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.81, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-7, 有效: 8, IPv4: 59, IPv6: 0, 最小延迟: 446 ms, 最高速率: 7.59 M/s, 平均速率: 4.02 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.94, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-8, 有效: 10, IPv4: 60, IPv6: 0, 最小延迟: 48 ms, 最高速率: 72.93 M/s, 平均速率: 2.98 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.68, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-9, 有效: 8, IPv4: 56, IPv6: 0, 最小延迟: 37 ms, 最高速率: 15.19 M/s, 平均速率: 4.92 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.69, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-10, 有效: 8, IPv4: 64, IPv6: 0, 最小延迟: 70 ms, 最高速率: 54.27 M/s, 平均速率: 2.39 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-11, 有效: 6, IPv4: 53, IPv6: 0, 最小延迟: 34 ms, 最高速率: 18.63 M/s, 平均速率: 5.50 M/s, 最高分辨率: 1920x1080, 平均帧率: 41.07, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-12, 有效: 9, IPv4: 55, IPv6: 0, 最小延迟: 33 ms, 最高速率: 19.58 M/s, 平均速率: 3.92 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-13, 有效: 8, IPv4: 60, IPv6: 0, 最小延迟: 30 ms, 最高速率: 20.21 M/s, 平均速率: 4.66 M/s, 最高分辨率: 1920x1080, 平均帧率: 41.07, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-14, 有效: 9, IPv4: 61, IPv6: 0, 最小延迟: 33 ms, 最高速率: 74.45 M/s, 平均速率: 4.98 M/s, 最高分辨率: 1920x1080, 平均帧率: 36.36, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-15, 有效: 9, IPv4: 68, IPv6: 0, 最小延迟: 44 ms, 最高速率: 76.30 M/s, 平均速率: 4.88 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.38, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-16, 有效: 8, IPv4: 21, IPv6: 0, 最小延迟: 31 ms, 最高速率: 126.13 M/s, 平均速率: 20.20 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-17, 有效: 9, IPv4: 37, IPv6: 0, 最小延迟: 399 ms, 最高速率: 17.82 M/s, 平均速率: 5.50 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.56, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CETV-3, 有效: 0, IPv4: 5, IPv6: 0, 最小延迟: 592 ms, 最高速率: 4.61 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CETV-1, 有效: 4, IPv4: 37, IPv6: 0, 最小延迟: 29 ms, 最高速率: 22.21 M/s, 平均速率: 14.59 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CETV-4, 有效: 0, IPv4: 28, IPv6: 0, 最小延迟: 610 ms, 最高速率: 4.50 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CETV-2, 有效: 2, IPv4: 22, IPv6: 0, 最小延迟: 31 ms, 最高速率: 22.24 M/s, 平均速率: 18.81 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 香港卫视, 有效: 1, IPv4: 7, IPv6: 0, 最小延迟: 10352 ms, 最高速率: 0.32 M/s, 平均速率: 0.32 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 广东卫视, 有效: 5, IPv4: 51, IPv6: 0, 最小延迟: 31 ms, 最高速率: 21.82 M/s, 平均速率: 11.69 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 浙江卫视, 有效: 10, IPv4: 49, IPv6: 0, 最小延迟: 30 ms, 最高速率: 19.62 M/s, 平均速率: 4.48 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.82, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 湖南卫视, 有效: 10, IPv4: 54, IPv6: 0, 最小延迟: 34 ms, 最高速率: 18.56 M/s, 平均速率: 4.69 M/s, 最高分辨率: 3840x2160, 平均帧率: 32.73, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 北京卫视, 有效: 5, IPv4: 50, IPv6: 0, 最小延迟: 30 ms, 最高速率: 20.46 M/s, 平均速率: 6.93 M/s, 最高分辨率: 1920x1080, 平均帧率: 41.67, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 湖北卫视, 有效: 8, IPv4: 54, IPv6: 0, 最小延迟: 30 ms, 最高速率: 20.76 M/s, 平均速率: 9.23 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 黑龙江卫视, 有效: 6, IPv4: 35, IPv6: 0, 最小延迟: 29 ms, 最高速率: 21.38 M/s, 平均速率: 8.05 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.38, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 安徽卫视, 有效: 6, IPv4: 41, IPv6: 0, 最小延迟: 30 ms, 最高速率: 20.95 M/s, 平均速率: 6.70 M/s, 最高分辨率: 1920x1080, 平均帧率: 39.29, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 重庆卫视, 有效: 7, IPv4: 54, IPv6: 0, 最小延迟: 59 ms, 最高速率: 75.51 M/s, 平均速率: 3.65 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.94, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 东方卫视, 有效: 8, IPv4: 48, IPv6: 0, 最小延迟: 51 ms, 最高速率: 68.42 M/s, 平均速率: 6.82 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.36, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 东南卫视, 有效: 5, IPv4: 37, IPv6: 0, 最小延迟: 47 ms, 最高速率: 73.34 M/s, 平均速率: 4.36 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.69, 视频编解码器: h264, 音频编解码器: mp2
